id_evento,fecha_evento,anio,nombre_evento,categoria,ambito,mecanismo_dominante,descripcion,partidos_afectados,impacto_probable,explicacion_impacto,relevancia_1_5,confianza_analitica,fuentes
ESP-001,2018-03-21,2018,Estalla el caso máster de Cristina Cifuentes,Corrupción/escándalo,Autonómico con spillover nacional,corrupción/valence,La publicación de irregularidades en el máster de Cristina Cifuentes convirtió un problema madrileño en una crisis reputacional nacional para el PP.,"PP, Ciudadanos, PSOE",PP (-); Ciudadanos (+); PSOE (+),Colocó la integridad y la regeneración en el centro del debate y dañó a una figura importante del PP. Benefició a competidores que podían presentarse como alternativa limpia.,4,Alta,https://www.reuters.com/site-search/?query=Cristina+Cifuentes+master+scandal+Spain+March+2018 | https://es.wikipedia.org/wiki/Caso_Cifuentes | https://www.asambleamadrid.es/
ESP-002,2018-04-25,2018,Dimisión de Cifuentes tras el vídeo del supermercado,Corrupción/escándalo,Autonómico con spillover nacional,liderazgo y credibilidad,La difusión de un vídeo antiguo de un hurto en un supermercado precipitó la dimisión de Cifuentes como presidenta madrileña.,"PP, Ciudadanos, PSOE",PP (-); Ciudadanos (+); PSOE (+),La dimisión profundizó la imagen de descomposición del PP en Madrid y reforzó la presión competitiva de Ciudadanos y PSOE en el marco de la regeneración.,4,Alta,https://www.reuters.com/site-search/?query=Cifuentes+resigns+supermarket+video+Spain+April+2018 | https://es.wikipedia.org/wiki/Caso_Cifuentes | https://www.asambleamadrid.es/
ESP-003,2018-05-24,2018,Sentencia del caso Gürtel,Corrupción/escándalo,Nacional,corrupción/valence,La Audiencia Nacional dictó la sentencia principal del caso Gürtel y dio por acreditada una caja B del PP.,"PP, PSOE, Unidas Podemos, Ciudadanos",PP (-); PSOE (+); Unidas Podemos (+); Ciudadanos (+),Fue un shock clásico de valence. Dañó de forma directa la credibilidad del PP y abrió la ventana institucional para la moción de censura.,5,Alta,https://www.reuters.com/site-search/?query=Spain+court+ruling+G%C3%BCrtel+case+May+2018 | https://es.wikipedia.org/wiki/Caso_G%C3%BCrtel | https://www.poderjudicial.es/
ESP-004,2018-06-01,2018,Moción de censura a Rajoy y llegada de Sánchez a La Moncloa,Institucional/gobernabilidad,Nacional,gobernabilidad,Pedro Sánchez ganó la moción de censura contra Mariano Rajoy y pasó a encabezar un gobierno socialista en minoría.,"PSOE, PP, Unidas Podemos, Ciudadanos, PNV",PSOE (+); PP (-); Unidas Podemos (+); Ciudadanos (-); PNV (+),"Reordenó todo el sistema de competición. El PSOE recuperó centralidad, el PP quedó asociado a la corrupción y Ciudadanos perdió parte de su ventaja como alternativa principal.",5,Alta,https://www.reuters.com/site-search/?query=Rajoy+no+confidence+Sanchez+June+2018+Spain | https://es.wikipedia.org/wiki/Moci%C3%B3n_de_censura_contra_Mariano_Rajoy_de_2018 | https://www.congreso.es/
ESP-005,2018-06-17,2018,Crisis del Aquarius y giro de España como destino humanitario,Inmigración/seguridad,Nacional,inmigración,El Gobierno autorizó la acogida del Aquarius y situó la política migratoria en el centro de la agenda europea y doméstica.,"PSOE, PP, Vox",PSOE (mixto); PP (+); Vox (+),"El gesto reforzó el perfil humanitario del PSOE en la izquierda, pero también ayudó a activar el eje inmigración-identidad que más tarde benefició a la derecha dura.",3,Media,https://www.reuters.com/site-search/?query=Aquarius+Spain+June+2018+Sanchez | https://www.lamoncloa.gob.es/ | https://es.wikipedia.org/wiki/Aquarius_(barco)
ESP-006,2018-07-21,2018,Pablo Casado gana las primarias del PP,Liderazgo partidario,Nacional,liderazgo y credibilidad,Pablo Casado se impuso a Soraya Sáenz de Santamaría y asumió el liderazgo del PP tras la caída de Rajoy.,"PP, Ciudadanos, Vox",PP (+); Ciudadanos (-); Vox (mixto),"La renovación podía frenar la fuga de votantes al centro, pero también endureció el perfil ideológico del PP y abrió competencia con Vox en el mismo espacio.",4,Media,https://www.reuters.com/site-search/?query=Pablo+Casado+wins+PP+leadership+July+2018 | https://es.wikipedia.org/wiki/Pablo_Casado | https://www.pp.es/
ESP-007,2018-08-24,2018,El Gobierno aprueba el decreto para exhumar a Franco,Identidad/memoria,Nacional,movilización ideológica,El Consejo de Ministros aprobó el decreto para sacar los restos de Franco del Valle de los Caídos.,"PSOE, PP, Vox, Ciudadanos",PSOE (+); PP/Vox (+); Ciudadanos (-),"La memoria histórica favoreció al PSOE entre votantes progresistas, pero también activó una movilización reactiva en la derecha que benefició especialmente a Vox y dejó más incómodo a Ciudadanos.",3,Media,https://www.reuters.com/site-search/?query=Spain+approves+decree+exhume+Franco+August+2018 | https://www.lamoncloa.gob.es/ | https://es.wikipedia.org/wiki/Exhumaci%C3%B3n_de_Francisco_Franco
ESP-008,2018-09-11,2018,Dimisión de Carmen Montón por sus estudios de máster,Corrupción/escándalo,Nacional,liderazgo y credibilidad,"La ministra de Sanidad dimitió por irregularidades en un máster, sumando desgaste reputacional al primer Gobierno Sánchez.","PSOE, PP, Ciudadanos",PSOE (-); PP (+); Ciudadanos (+),Debilitó el argumento de regeneración del nuevo Ejecutivo y facilitó a la oposición igualar simbólicamente los casos académicos del PSOE y del PP.,3,Alta,https://www.reuters.com/site-search/?query=Carmen+Monton+resigns+master+Spain+September+2018 | https://es.wikipedia.org/wiki/Carmen_Mont%C3%B3n | https://www.lamoncloa.gob.es/
ESP-009,2018-09-13,2018,Polémica por la tesis doctoral de Pedro Sánchez,Liderazgo partidario,Nacional,liderazgo y credibilidad,La controversia sobre la tesis doctoral del presidente escaló durante semanas y alimentó el choque político entre bloques.,"PSOE, PP, Ciudadanos, Vox",PSOE (-); PP (+); Ciudadanos (+); Vox (+),La polémica erosionó la confianza personal en Sánchez y permitió a la derecha insistir en un marco de credibilidad y ejemplaridad.,3,Media,https://www.reuters.com/site-search/?query=Pedro+Sanchez+thesis+controversy+September+2018+Spain | https://es.wikipedia.org/wiki/Pedro_S%C3%A1nchez | https://www.lamoncloa.gob.es/
ESP-010,2018-12-02,2018,Elecciones andaluzas: irrupción de Vox y cambio de bloque,Elecciones/resultados,Autonómico con spillover nacional,competencia intrabloque derecha,Por primera vez Vox entró con fuerza en una cámara autonómica y permitió un cambio de mayoría en Andalucía.,"PSOE, PP, Vox, Ciudadanos",Vox (++); PP (+); Ciudadanos (+); PSOE (-),El resultado normalizó a Vox como actor competitivo y anticipó la fragmentación estable de la derecha. También señaló fatiga del PSOE en uno de sus bastiones.,5,Alta,https://www.reuters.com/site-search/?query=Andalusia+election+Vox+breakthrough+December+2018+Spain | https://es.wikipedia.org/wiki/Elecciones_al_Parlamento_de_Andaluc%C3%ADa_de_2018 | https://www.infoelectoral.interior.gob.es/
ESP-011,2019-02-13,2019,El Congreso tumba los Presupuestos y se rompe la legislatura,Institucional/gobernabilidad,Nacional,gobernabilidad,Los Presupuestos del Gobierno fueron rechazados y quedó claro que Sánchez no podía sostener la legislatura con su mayoría de apoyos.,"PSOE, PP, Ciudadanos, Vox, ERC, Junts",PSOE (-); PP (+); Ciudadanos (+); Vox (+); ERC/Junts (+),La derrota proyectó debilidad de gobierno y devolvió protagonismo a los partidos de oposición y a los socios territoriales con capacidad de veto.,4,Alta,https://www.reuters.com/site-search/?query=Spain+budget+defeated+parliament+February+2019+Sanchez | https://www.congreso.es/ | https://www.boe.es/
ESP-012,2019-04-28,2019,Elecciones generales del 28A,Elecciones/resultados,Nacional,gobernabilidad,"El PSOE ganó las elecciones generales, el PP evitó el colapso total y Vox entró con fuerza en el Congreso.","PSOE, PP, Vox, Ciudadanos, Unidas Podemos",PSOE (+); Vox (+); Ciudadanos (+); PP (mixto); Unidas Podemos (-),"El 28A consolidó un sistema multipartidista con bloques más claros. El PSOE emergió como partido central, mientras Vox logró legitimación nacional.",5,Alta,https://www.reuters.com/site-search/?query=Spain+general+election+April+2019+results | https://es.wikipedia.org/wiki/Elecciones_generales_de_Espa%C3%B1a_de_abril_de_2019 | https://www.infoelectoral.interior.gob.es/
ESP-013,2019-05-26,2019,"Triple cita municipal, autonómica y europea",Elecciones/resultados,Nacional,competencia intrabloque,"Las elecciones del 26M repartieron poder territorial y abrieron pactos entre PP, Ciudadanos y Vox en varias instituciones.","PSOE, PP, Ciudadanos, Vox, Unidas Podemos",PP (+); Vox (+); PSOE (mixto); Ciudadanos (mixto); Unidas Podemos (-),El poder territorial dio oxígeno al bloque de derechas y anticipó una política más basada en coaliciones y pactos postelectorales.,4,Alta,https://www.reuters.com/site-search/?query=Spain+local+regional+European+elections+May+2019+pacts | https://www.infoelectoral.interior.gob.es/ | https://es.wikipedia.org/wiki/Elecciones_municipales_de_Espa%C3%B1a_de_2019
ESP-014,2019-07-25,2019,Fracasa la investidura de Sánchez por ruptura con Unidas Podemos,Institucional/gobernabilidad,Nacional,competencia intrabloque izquierda,Las negociaciones entre PSOE y Unidas Podemos colapsaron y la investidura quedó fallida.,"PSOE, Unidas Podemos, PP, Vox, Ciudadanos",PSOE (-); Unidas Podemos (-); PP (+); Vox (+); Ciudadanos (+),La imagen de bloqueo y de disputa por cargos penalizó al bloque progresista y elevó el coste electoral de la descoordinación en la izquierda.,4,Alta,https://www.reuters.com/site-search/?query=Spain+failed+investiture+July+2019+PSOE+Podemos | https://www.congreso.es/ | https://es.wikipedia.org/wiki/XIV_legislatura_de_Espa%C3%B1a
ESP-015,2019-09-17,2019,Se convocan nuevas elecciones para el 10N,Institucional/gobernabilidad,Nacional,gobernabilidad,"Ante la imposibilidad de formar gobierno, España fue abocada a una repetición electoral en noviembre.","PSOE, Unidas Podemos, PP, Vox, Ciudadanos",PSOE (-); Unidas Podemos (-); PP (+); Vox (+); Ciudadanos (mixto),La repetición reforzó la fatiga ciudadana con el bloqueo y abrió la puerta a castigar a quienes fueran percibidos como responsables.,4,Alta,https://www.reuters.com/site-search/?query=Spain+repeat+election+called+September+2019 | https://www.congreso.es/ | https://www.infoelectoral.interior.gob.es/
